,Business operation,Dispatcher / shift supervisor,Local Logistics person responsible for transportation,Local Retail,Local Sales,Local product storage management,Maintenance management,Operator,Quality Control,SSC,Scheduler,Technical execution,Terminal manager
100. Metrology,False,False,False,False,False,True,False,False,False,False,False,False,False
110.1.a Administrative return goods,False,False,False,False,False,False,False,False,False,False,False,False,True
110.1.b Physical Return goods handling,False,False,False,False,False,False,False,False,False,False,False,False,True
110.2. Off-spec product management,False,False,False,False,False,False,False,False,False,False,False,False,True
120. Reporting,False,False,False,False,False,False,False,False,False,False,False,False,True
Acceptance/transfer in tank,False,True,False,False,False,False,False,False,False,False,False,False,False
Calculating necessary transportation capacity,False,False,True,False,False,False,False,False,False,False,False,False,False
Checking loading conditions  - Train,False,True,False,False,False,False,False,False,False,False,False,False,False
Checking loading conditions - Barge,False,True,False,False,False,False,False,False,False,False,False,False,False
Checking loading conditions - Road,False,True,False,False,False,False,False,False,False,False,False,False,False
Controlling the quality,False,True,False,False,False,False,False,False,False,False,False,False,False
Controlling the quantity - Barge,False,True,False,False,False,False,False,False,False,False,False,False,False
Controlling the quantity - Pipeline,False,True,False,False,False,False,False,False,False,False,False,False,False
Controlling the quantity - RTC,False,True,False,False,False,False,False,False,False,False,False,False,False
Controlling the quantity - RoTC,False,True,False,False,False,False,False,False,False,False,False,False,False
Create transportation plan for next day/shift,False,False,False,False,False,False,False,False,False,False,True,False,False
Defining optimal (target) replenishment inventory level,False,False,True,False,False,False,False,False,False,False,False,False,False
Ensure available capacity,False,False,True,False,False,False,False,False,False,False,False,False,False
Execution – autonomous maintenance,True,False,False,False,False,False,False,False,False,False,False,False,False
Execution – routine maintenance,False,False,False,False,False,False,False,False,False,False,False,True,False
Inspecting the vehicle,False,True,False,False,False,False,False,False,False,False,False,False,False
Inventory checking (FS & VMI accounts),False,False,False,False,False,False,False,False,False,False,True,False,False
Inventory checking - managing data quality,False,False,False,False,False,False,False,False,False,False,True,False,False
Issuing the transport documents - Barge,False,True,False,False,False,False,False,False,False,False,False,False,False
Issuing the transport documents - Train,False,True,False,False,False,False,False,False,False,False,False,False,False
Issuing the transport documents-Road,False,True,False,False,False,False,False,False,False,False,False,False,False
Loading the transport means  - Train,False,False,False,False,False,False,False,True,False,False,False,False,False
Loading the transport means - Barge,False,False,False,False,False,False,False,True,False,False,False,False,False
Loading the transport means -Road,False,False,False,False,False,False,False,True,False,False,False,False,False
"Making preparations for product reception, reviewing the transport documents",False,False,False,False,False,False,False,False,False,False,False,False,True
Monitor FS (VMI) turnover,False,False,True,False,False,False,False,False,False,False,False,False,False
Notification,False,False,False,False,False,False,True,False,False,False,False,False,False
Order generation for filling stations (VMI accounts),False,False,False,False,False,False,False,False,False,False,True,False,False
"Plan-Fact evaluation, controlling",False,False,True,False,False,False,False,False,False,False,False,False,False
Planning and Scheduling,False,False,False,False,False,False,False,False,False,True,False,False,False
Quality control - Barge,False,False,False,False,False,False,False,False,True,False,False,False,False
Quality control - Train,False,False,False,False,False,False,False,False,True,False,False,False,False
Quality control- Road,False,False,False,False,False,False,False,False,True,False,False,False,False
"Receiving Retail business plans, forecasted delivery volumes",False,False,False,True,False,False,False,False,False,False,False,False,False
"Receiving Wholesale business plans, forecasted delivery volumes",False,False,False,False,True,False,False,False,False,False,False,False,False
Receiving actual information about delivery fulfillment from haulers,False,False,False,False,False,False,False,False,False,False,True,False,False
"Receiving customer orders, forwarding to R&S",False,False,False,False,True,False,False,False,False,False,False,False,False
Receiving daily inventory and sales reports from FSs (and other VMI accounts),False,False,False,True,False,False,False,False,False,False,False,False,False
Receiving the transport means - Barge,False,True,False,False,False,False,False,False,False,False,False,False,False
Receiving the transport means - Train,False,True,False,False,False,False,False,False,False,False,False,False,False
Receiving the transport means-Road,False,True,False,False,False,False,False,False,False,False,False,False,False
Record keeping and registration in inventory,False,True,False,False,False,False,False,False,False,False,False,False,False
Sales forecasting,False,False,False,False,False,False,False,False,False,False,True,False,False
Sending confirmation about scheduled delivery time to local Sales organisation and/or customers and/or FS,False,False,False,False,False,False,False,False,False,False,True,False,False
Sending information about transportation plans to haulers and/or terminals,False,False,False,False,False,False,False,False,False,False,True,False,False
"Transferring the risk of product, registering the discharge  - Train",False,True,False,False,False,False,False,False,False,False,False,False,False
"Transferring the risk of product, registering the discharge - Barge",False,True,False,False,False,False,False,False,False,False,False,False,False
"Transferring the risk of product, registering the discharge- Road",False,True,False,False,False,False,False,False,False,False,False,False,False
Unloading,False,False,False,False,False,False,False,True,False,False,False,False,False
Verification,False,False,False,False,False,False,True,False,False,False,False,False,False
Work order selection (RBWS),False,False,False,False,False,False,True,False,False,False,False,False,False
